resultid,raceid,driverid,constructorid,number,grid,position,positiontext,positionorder,points,laps,time,milliseconds,rank
1751,101,46,18,20,19,17,17,17,0,62,0,0,19
1752,101,2,17,18,18,0,0,18,0,42,0,0,18
1753,101,43,7,16,15,0,0,19,0,38,0,0,14
1754,101,8,1,6,3,0,0,20,0,13,0,0,1
1755,102,30,6,1,1,1,1,1,10,70,35:26.1,5726131,1
1756,102,22,6,2,2,2,2,2,8,70,4.696,5730827,2
1757,102,4,4,8,5,3,3,3,6,70,44.599,5770730,3
1758,102,31,3,3,7,4,4,4,5,70,+1:02.613,5788744,7
1759,102,18,16,9,4,5,5,5,4,70,+1:07.439,5793570,4
1760,102,11,16,10,3,6,6,6,3,69,0,0,10
1761,102,42,3,4,6,7,7,7,2,69,0,0,5
1762,102,21,15,11,8,8,8,8,1,69,0,0,9
1763,102,14,1,5,12,9,9,9,0,69,0,0,11
1764,102,17,19,14,11,10,10,10,0,69,0,0,8
1765,102,44,7,17,13,11,11,11,0,69,0,0,12
1766,102,2,17,18,16,12,12,12,0,68,0,0,13
1767,102,32,19,15,14,13,13,13,0,68,0,0,17
1768,102,46,18,20,19,14,14,14,0,66,0,0,19
1769,102,47,18,21,18,15,15,15,0,65,0,0,20
1770,102,45,17,19,17,0,0,16,0,48,0,0,18
1771,102,15,4,7,9,0,0,17,0,41,0,0,6
1772,102,41,7,16,15,0,0,18,0,31,0,0,16
1773,102,13,15,12,20,0,0,19,0,21,0,0,15
1774,102,8,1,6,10,0,0,20,0,13,0,0,14
1775,103,8,1,6,10,1,1,1,10,44,32:35.3,5555274,1
1776,103,30,6,1,2,2,2,2,8,44,3.132,5558406,2
1777,103,22,6,2,6,3,3,3,6,44,4.371,5559645,3
1778,103,13,15,12,8,4,4,4,5,44,12.504,5567778,13
1779,103,21,15,11,5,5,5,5,4,44,14.104,5569378,9
1780,103,32,19,15,13,6,6,6,3,44,14.614,5569888,11
1781,103,14,1,5,4,7,7,7,2,44,17.97,5573244,7
1782,103,44,7,17,9,8,8,8,1,44,18.693,5573967,14
1783,103,15,4,7,1,9,9,9,0,44,22.115,5577389,5
1784,103,41,7,16,20,10,10,10,0,41,0,0,12
1785,103,2,17,18,16,11,11,11,0,40,0,0,15
1786,103,31,3,3,11,0,0,12,0,37,0,0,6
1787,103,42,3,4,14,0,0,13,0,31,0,0,8
1788,103,18,16,9,12,0,0,14,0,29,0,0,10
1789,103,47,18,21,18,0,0,15,0,28,0,0,16
1790,103,4,4,8,3,0,0,16,0,11,0,0,4
1791,103,17,19,14,7,0,0,17,0,0,0,0,0
1792,103,11,16,10,15,0,0,18,0,0,0,0,0
1793,103,46,18,20,17,0,0,19,0,0,0,0,0
1794,103,45,17,19,19,0,0,20,0,0,0,0,0
1795,104,22,6,2,1,1,1,1,10,53,15:18.4,4518448,1
1796,104,30,6,1,3,2,2,2,8,53,1.347,4519795,2
1797,104,18,16,9,6,3,3,3,6,53,10.197,4528645,6
1798,104,11,16,10,5,4,4,4,5,53,15.37,4533818,5
1799,104,31,3,3,2,5,5,5,4,53,32.352,4550800,10
1800,104,14,1,5,10,6,6,6,3,53,33.439,4551887,9
1801,104,42,3,4,8,7,7,7,2,53,33.752,4552200,3
1802,104,21,15,11,15,8,8,8,1,53,35.431,4553879,4
1803,104,17,19,14,12,9,9,9,0,53,56.761,4575209,12
1804,104,15,4,7,9,10,10,10,0,53,+1:06.316,4584764,7
1805,104,41,7,16,11,11,11,11,0,53,+1:22.531,4600979,14
1806,104,13,15,12,16,12,12,12,0,52,0,0,11
1807,104,32,19,15,14,13,13,13,0,52,0,0,15
1808,104,2,17,18,20,14,14,14,0,52,0,0,17
1809,104,47,18,21,19,15,15,15,0,50,0,0,18
1810,104,4,4,8,4,0,0,16,0,40,0,0,8
1811,104,45,17,19,17,0,0,17,0,33,0,0,16
1812,104,46,18,20,18,0,0,18,0,29,0,0,19
1813,104,8,1,6,7,0,0,19,0,13,0,0,13
1814,104,44,7,17,13,0,0,20,0,0,0,0,0
1815,105,22,6,2,1,1,1,1,10,56,29:12.4,5352420,2
1816,105,18,16,9,3,2,2,2,8,56,1.035,5353455,4
1817,105,8,1,6,2,3,3,3,6,56,1.469,5353889,3
1818,105,4,4,8,6,4,4,4,5,56,32.51,5384930,10
1819,105,31,3,3,10,5,5,5,4,56,45.193,5397613,5
1820,105,11,16,10,18,6,6,6,3,56,54.791,5407211,8
1821,105,21,15,11,7,7,7,7,2,56,+1:05.454,5417874,7
1822,105,13,15,12,4,8,8,8,1,56,+1:20.080,5432500,6
1823,105,14,1,5,9,9,9,9,0,56,+1:20.619,5433039,11
1824,105,17,19,14,11,10,10,10,0,55,0,0,15
1825,105,35,4,7,12,11,11,11,0,55,0,0,17
1826,105,30,6,1,20,12,12,12,0,55,0,0,1
1827,105,2,17,18,14,13,13,13,0,55,0,0,14
1828,105,44,7,17,8,14,14,14,0,55,0,0,13
1829,105,10,17,19,16,15,15,15,0,55,0,0,16
1830,105,47,18,21,19,16,16,16,0,53,0,0,20
1831,105,46,18,20,17,0,0,17,0,38,0,0,19
1832,105,23,3,4,5,0,0,18,0,37,0,0,9
1833,105,41,7,16,13,0,0,19,0,35,0,0,12
1834,105,32,19,15,15,0,0,20,0,11,0,0,18
1835,106,30,6,1,1,1,1,1,10,53,24:27.0,5066985,2
1836,106,23,3,4,2,2,2,2,8,53,14.098,5081083,3
1837,106,18,16,9,5,3,3,3,6,53,19.662,5086647,7
1838,106,11,16,10,4,4,4,4,5,53,31.781,5098766,5
1839,106,4,4,8,11,5,5,5,4,53,37.767,5104752,12
1840,106,8,1,6,12,6,6,6,3,53,39.362,5106347,10
1841,106,31,3,3,13,7,7,7,2,53,55.347,5122332,6
1842,106,21,15,11,7,8,8,8,1,53,56.276,5123261,8
1843,106,13,15,12,19,9,9,9,0,53,+1:29.656,5156641,4
1844,106,35,4,7,9,10,10,10,0,52,0,0,16
1845,106,15,7,16,6,11,11,11,0,52,0,0,14
1846,106,32,19,15,14,12,12,12,0,52,0,0,15
1847,106,2,17,18,16,13,13,13,0,52,0,0,17
1848,106,44,7,17,10,14,14,14,0,51,0,0,13
1849,106,10,17,19,17,15,15,15,0,51,0,0,18
1850,106,46,18,20,18,16,16,16,0,50,0,0,19
1851,106,47,18,21,20,0,0,17,0,41,0,0,20
1852,106,14,1,5,8,0,0,18,0,38,0,0,9
1853,106,22,6,2,15,0,0,19,0,38,0,0,1
1854,106,17,19,14,3,0,0,20,0,20,0,0,11
1855,107,31,3,3,2,1,1,1,10,71,28:01.5,5281451,1
1856,107,8,1,6,3,2,2,2,8,71,1.022,5282473,2
1857,107,22,6,2,1,3,3,3,6,71,24.099,5305550,3
1858,107,4,4,8,8,4,4,4,5,71,48.508,5329959,9
1859,107,23,3,4,7,5,5,5,4,71,49.74,5331191,5
1860,107,11,16,10,6,6,6,6,3,71,50.248,5331699,7
1861,107,30,6,1,18,7,7,7,2,71,50.626,5332077,4
1862,107,13,15,12,4,8,8,8,1,71,+1:02.310,5343761,8
1863,107,21,15,11,10,9,9,9,0,71,+1:03.842,5345293,6
1864,107,35,4,7,13,10,10,10,0,70,0,0,10
1865,107,14,1,5,12,11,11,11,0,70,0,0,12
1866,107,15,7,16,9,12,12,12,0,70,0,0,11
1867,107,41,7,17,14,13,13,13,0,70,0,0,14
1868,107,32,19,15,15,14,14,14,0,69,0,0,13
1869,107,10,17,19,17,15,15,15,0,69,0,0,16
1870,107,47,18,21,19,16,16,16,0,67,0,0,17
1871,107,46,18,20,20,17,17,17,0,67,0,0,18
1872,107,17,19,14,11,0,0,18,0,23,0,0,15
1873,107,2,17,18,16,0,0,19,0,15,0,0,19
1874,107,18,16,9,5,0,0,20,0,3,0,0,20
1875,108,14,1,5,11,1,1,1,10,58,34:42.1,5682100,0
1876,108,31,3,3,3,2,2,2,8,58,8.675,5690775,0
1877,108,8,1,6,15,3,3,3,6,58,9.192,5691292,0
1878,108,30,6,1,1,4,4,4,5,58,9.482,5691582,0
1879,108,15,4,7,12,5,5,5,4,58,38.801,5720901,0
1880,108,49,15,10,4,6,6,6,3,58,43.928,5726028,0
1881,108,4,4,8,10,7,7,7,2,58,45.074,5727174,0
1882,108,23,3,4,9,8,8,8,1,58,45.745,5727845,0
1883,108,35,16,16,6,9,9,9,0,58,+1:05.536,5747636,0
1884,108,18,16,17,8,10,10,10,0,58,+1:05.974,5748074,0
1885,108,50,18,19,20,11,11,11,0,57,0,0,0
1886,108,21,17,11,13,0,0,12,0,52,0,0,0
1887,108,42,19,15,18,0,0,13,0,52,0,0,0
1888,108,44,7,20,5,0,0,14,0,31,0,0,0
1889,108,2,15,9,7,0,0,15,0,20,0,0,0
1890,108,51,18,18,19,0,0,16,0,16,0,0,0
1891,108,17,19,14,14,0,0,17,0,15,0,0,0
1892,108,43,7,21,16,0,0,18,0,7,0,0,0
1893,108,52,17,12,17,0,0,19,0,6,0,0,0
1894,108,22,6,2,2,0,0,20,0,5,0,0,0
1895,109,8,1,6,7,1,1,1,10,56,32:22.2,5542195,0
1896,109,22,6,2,5,2,2,2,8,56,39.286,5581481,0
1897,109,4,4,8,1,3,3,3,6,56,+1:04.007,5606202,0
1898,109,23,3,4,17,4,4,4,5,56,+1:28.026,5630221,0
1899,109,15,4,7,2,5,5,5,4,55,0,0,0
1900,109,30,6,1,3,6,6,6,3,55,0,0,0
1901,109,18,16,17,9,7,7,7,2,55,0,0,0
1902,109,2,15,9,6,8,8,8,1,55,0,0,0
1903,109,49,15,10,13,9,9,9,0,55,0,0,0
1904,109,52,17,12,20,10,10,10,0,55,0,0,0
1905,109,43,7,21,11,11,11,11,0,55,0,0,0
1906,109,31,3,3,8,12,12,12,0,53,0,0,0
1907,109,50,18,19,18,13,13,13,0,52,0,0,0
1908,109,42,19,15,15,0,0,14,0,42,0,0,0
1909,109,51,18,18,19,0,0,15,0,41,0,0,0
1910,109,17,19,14,16,0,0,16,0,35,0,0,0
1911,109,44,7,20,10,0,0,17,0,12,0,0,0
1912,109,14,1,5,4,0,0,18,0,2,0,0,0
1913,109,21,17,11,14,0,0,19,0,0,0,0,0
1914,109,35,16,16,12,0,0,20,0,0,0,0,0
1915,110,21,17,11,8,1,1,1,10,54,31:18.2,5478200,0
1916,110,8,1,6,4,2,2,2,8,54,0.945,5479145,0
1917,110,4,4,8,10,3,3,3,6,54,6.348,5484548,0
1918,110,14,1,5,2,4,4,4,5,54,8.096,5486296,0
1919,110,49,15,10,14,5,5,5,4,54,8.642,5486842,0
1920,110,35,16,16,13,6,6,6,3,54,16.054,5494254,0
1921,110,23,3,4,6,7,7,7,2,54,38.526,5516726,0
1922,110,15,4,7,5,8,8,8,1,54,45.927,5524127,0
1923,110,17,19,14,3,9,9,9,0,53,0,0,0
1924,110,43,7,21,18,10,10,10,0,53,0,0,0
1925,110,22,6,2,1,0,0,11,0,47,0,0,0
1926,110,18,16,17,11,0,0,12,0,33,0,0,0
1927,110,50,18,19,19,0,0,13,0,31,0,0,0
1928,110,30,6,1,7,0,0,14,0,27,0,0,0
1929,110,31,3,3,9,0,0,15,0,25,0,0,0
1930,110,42,19,15,17,0,0,16,0,25,0,0,0
1931,110,44,7,20,15,0,0,17,0,18,0,0,0
1932,110,52,17,12,16,0,0,18,0,18,0,0,0
1933,110,51,18,18,20,0,0,19,0,16,0,0,0
1934,110,2,15,9,12,0,0,20,0,8,0,0,0
1935,111,30,6,1,1,1,1,1,10,62,28:12.1,5292058,0
1936,111,8,1,6,6,2,2,2,8,62,1.882,5293940,0
1937,111,22,6,2,3,3,3,3,6,62,2.291,5294349,0
1938,111,23,3,4,2,4,4,4,5,62,8.803,5300861,0
1939,111,14,1,5,12,5,5,5,4,62,9.411,5301469,0
1940,111,4,4,8,8,6,6,6,3,62,43.689,5335747,0
1941,111,31,3,3,4,7,7,7,2,62,45.271,5337329,0
1942,111,18,16,17,9,8,8,8,1,61,0,0,0
1943,111,44,7,20,10,9,9,9,0,61,0,0,0
1944,111,2,15,9,11,10,10,10,0,61,0,0,0
1945,111,49,15,10,14,11,11,11,0,61,0,0,0
1946,111,43,7,21,13,12,12,12,0,61,0,0,0
1947,111,15,4,7,16,13,13,13,0,61,0,0,0
1948,111,42,19,15,15,14,14,14,0,60,0,0,0
1949,111,21,17,11,17,15,15,15,0,57,0,0,0
1950,111,17,19,14,5,0,0,16,0,54,0,0,0
1951,111,52,17,12,19,0,0,17,0,51,0,0,0
1952,111,50,18,19,20,0,0,18,0,38,0,0,0
1953,111,51,18,18,18,0,0,19,0,23,0,0,0
1954,111,35,16,16,7,0,0,20,0,19,0,0,0
1955,112,30,6,1,1,1,1,1,10,65,33:46.9,5626933,0
1956,112,4,4,8,3,2,2,2,8,65,5.7,5632633,0
1957,112,22,6,2,2,3,3,3,6,65,18,5644933,0
1958,112,31,3,3,9,4,4,4,5,65,+1:02.0,5688933,0
1959,112,23,3,4,7,5,5,5,4,64,0,0,0
1960,112,43,7,21,13,6,6,6,3,64,0,0,0
1961,112,17,19,14,12,7,7,7,2,64,0,0,0
1962,112,52,17,12,15,8,8,8,1,63,0,0,0
1963,112,18,16,17,5,9,9,9,0,63,0,0,0
1964,112,2,15,9,14,10,10,10,0,63,0,0,0
1965,112,51,18,18,18,11,11,11,0,63,0,0,0
1966,112,50,18,19,19,12,12,12,0,62,0,0,0
1967,112,21,17,11,17,0,0,13,0,43,0,0,0
1968,112,44,7,20,6,0,0,14,0,41,0,0,0
1969,112,49,15,10,10,0,0,15,0,38,0,0,0
1970,112,14,1,5,8,0,0,16,0,17,0,0,0
1971,112,35,16,16,11,0,0,17,0,12,0,0,0
1972,112,15,4,7,4,0,0,18,0,0,0,0,0
1973,112,42,19,15,16,0,0,19,0,0,0,0,0
1974,112,8,1,6,20,0,0,20,0,0,0,0,0
1975,113,30,6,1,1,1,1,1,10,69,24:04.9,5044888,0
1976,113,8,1,6,2,2,2,2,8,69,3.362,5048250,0
1977,113,22,6,2,5,3,3,3,6,69,3.951,5048839,0
1978,113,18,16,17,7,4,4,4,5,69,42.243,5087131,0
1979,113,14,1,5,14,5,5,5,4,69,59.74,5104628,0
1980,113,23,3,4,10,6,6,6,3,68,0,0,0
1981,113,17,19,14,17,7,7,7,2,68,0,0,0
1982,113,15,4,7,6,8,8,8,1,68,0,0,0
1983,113,42,19,15,8,9,9,9,0,68,0,0,0
1984,113,43,7,21,13,10,10,10,0,68,0,0,0
1985,113,52,17,12,16,11,11,11,0,68,0,0,0
1986,113,35,16,16,12,12,12,12,0,68,0,0,0
1987,113,51,18,18,18,13,13,13,0,67,0,0,0
1988,113,21,17,11,9,0,0,14,0,60,0,0,0
1989,113,2,15,9,4,0,0,15,0,46,0,0,0
1990,113,4,4,8,19,0,0,16,0,44,0,0,0
1991,113,31,3,3,3,0,0,17,0,32,0,0,0
1992,113,44,7,20,11,0,0,18,0,6,0,0,0
1993,113,50,18,19,20,0,0,19,0,0,0,0,0
1994,113,49,15,10,15,0,0,20,0,0,0,0,0
1995,114,31,3,3,3,1,1,1,10,78,42:19.0,6139010,0
1996,114,8,1,6,2,2,2,2,8,78,0.602,6139612,0
1997,114,30,6,1,5,3,3,3,6,78,1.72,6140730,0
1998,114,23,3,4,1,4,4,4,5,78,28.518,6167528,0
